City,Sample,rank,geodist,Latitude,Longitude
Atlanta,10,8,5.6,33.9189181359673,-84.4167947960799
Atlanta,10,21,4.2,33.7743486640328,-84.4043613220599
Atlanta,10,20,4.2,33.7846750548852,-84.4043613220599
Atlanta,10,6,4.2,33.7950014457377,-84.4043613220599
Atlanta,10,5,4.2,33.8053278365901,-84.4043613220599
Atlanta,10,6,4.2,33.8156542274426,-84.4043613220599
Atlanta,10,5,4.2,33.8259806182951,-84.4043613220599
Atlanta,10,5,4.1,33.8363070091475,-84.4043613220599
Atlanta,10,4,4.1,33.8466334,-84.4043613220599
Atlanta,10,5,4.1,33.8569597908525,-84.4043613220599
Atlanta,10,2,4.2,33.8672861817049,-84.4043613220599
Atlanta,10,2,4.2,33.8776125725574,-84.4043613220599
Atlanta,10,2,4.2,33.8879389634099,-84.4043613220599
Atlanta,10,4,4.2,33.8982653542623,-84.4043613220599
Atlanta,10,6,4.2,33.9085917451148,-84.4043613220599
Atlanta,10,9,4.2,33.9189181359673,-84.4043613220599
Atlanta,10,21,2.9,33.7743486640328,-84.3919278480399
Atlanta,10,21,2.8,33.7846750548852,-84.3919278480399
Atlanta,10,8,2.8,33.7950014457377,-84.3919278480399
Atlanta,10,6,2.8,33.8053278365901,-84.3919278480399
Atlanta,10,6,2.8,33.8156542274426,-84.3919278480399
Atlanta,10,5,2.8,33.8259806182951,-84.3919278480399
Atlanta,10,4,2.8,33.8363070091475,-84.3919278480399
Atlanta,10,3,2.8,33.8466334,-84.3919278480399
Atlanta,10,3,2.8,33.8569597908525,-84.3919278480399
Atlanta,10,2,2.8,33.8672861817049,-84.3919278480399
Atlanta,10,3,2.8,33.8776125725574,-84.3919278480399
Atlanta,10,4,2.8,33.8879389634099,-84.3919278480399
Atlanta,10,4,2.8,33.8982653542623,-84.3919278480399
Atlanta,10,8,2.8,33.9085917451148,-84.3919278480399
Atlanta,10,7,2.9,33.9189181359673,-84.3919278480399
Atlanta,10,21,1.6,33.7743486640328,-84.37949437402
Atlanta,10,21,1.5,33.7846750548852,-84.37949437402
Atlanta,10,7,1.5,33.7950014457377,-84.37949437402
Atlanta,10,6,1.5,33.8053278365901,-84.37949437402
Atlanta,10,6,1.4,33.8156542274426,-84.37949437402
Atlanta,10,5,1.4,33.8259806182951,-84.37949437402
Atlanta,10,4,1.4,33.8363070091475,-84.37949437402
Atlanta,10,2,1.4,33.8466334,-84.37949437402
Atlanta,10,2,1.4,33.8569597908525,-84.37949437402
Atlanta,10,2,1.4,33.8672861817049,-84.37949437402
Atlanta,10,3,1.4,33.8776125725574,-84.37949437402
Atlanta,10,3,1.5,33.8879389634099,-84.37949437402
Atlanta,10,4,1.5,33.8982653542623,-84.37949437402
Atlanta,10,9,1.5,33.9085917451148,-84.37949437402
Atlanta,10,10,1.6,33.9189181359673,-84.37949437402
Atlanta,10,21,0.8,33.7743486640328,-84.3670609
Atlanta,10,21,0.7,33.7846750548852,-84.3670609
Atlanta,10,6,0.6,33.7950014457377,-84.3670609
Atlanta,10,6,0.5,33.8053278365901,-84.3670609
Atlanta,10,6,0.3,33.8156542274426,-84.3670609
Atlanta,10,6,0.2,33.8259806182951,-84.3670609
Atlanta,10,5,0.1,33.8363070091475,-84.3670609
Atlanta,10,2,0,33.8466334,-84.3670609
Atlanta,10,2,0.1,33.8569597908525,-84.3670609
Atlanta,10,2,0.2,33.8672861817049,-84.3670609
Atlanta,10,2,0.3,33.8776125725574,-84.3670609
Atlanta,10,1,0.5,33.8879389634099,-84.3670609
Atlanta,10,4,0.6,33.8982653542623,-84.3670609
Atlanta,10,9,0.7,33.9085917451148,-84.3670609
Atlanta,10,8,0.8,33.9189181359673,-84.3670609
Atlanta,10,21,1.6,33.7743486640328,-84.35462742598
Atlanta,10,19,1.5,33.7846750548852,-84.35462742598
Atlanta,10,6,1.5,33.7950014457377,-84.35462742598
Atlanta,10,7,1.5,33.8053278365901,-84.35462742598
Atlanta,10,7,1.4,33.8156542274426,-84.35462742598
Atlanta,10,6,1.4,33.8259806182951,-84.35462742598
Atlanta,10,4,1.4,33.8363070091475,-84.35462742598
Atlanta,10,3,1.4,33.8466334,-84.35462742598
Atlanta,10,2,1.4,33.8569597908525,-84.35462742598
Atlanta,10,2,1.4,33.8672861817049,-84.35462742598
Atlanta,10,2,1.4,33.8776125725574,-84.35462742598
Atlanta,10,2,1.5,33.8879389634099,-84.35462742598
Atlanta,10,3,1.5,33.8982653542623,-84.35462742598
Atlanta,10,8,1.5,33.9085917451148,-84.35462742598
Atlanta,10,13,1.6,33.9189181359673,-84.35462742598
Atlanta,10,21,2.9,33.7743486640328,-84.3421939519601
Atlanta,10,16,2.8,33.7846750548852,-84.3421939519601
Atlanta,10,5,2.8,33.7950014457377,-84.3421939519601
Atlanta,10,6,2.8,33.8053278365901,-84.3421939519601
Atlanta,10,7,2.8,33.8156542274426,-84.3421939519601
Atlanta,10,5,2.8,33.8259806182951,-84.3421939519601
Atlanta,10,5,2.8,33.8363070091475,-84.3421939519601
Atlanta,10,4,2.8,33.8466334,-84.3421939519601
Atlanta,10,3,2.8,33.8569597908525,-84.3421939519601
Atlanta,10,2,2.8,33.8672861817049,-84.3421939519601
Atlanta,10,2,2.8,33.8776125725574,-84.3421939519601
Atlanta,10,2,2.8,33.8879389634099,-84.3421939519601
Atlanta,10,2,2.8,33.8982653542623,-84.3421939519601
Atlanta,10,8,2.8,33.9085917451148,-84.3421939519601
Atlanta,10,11,2.9,33.9189181359673,-84.3421939519601
Atlanta,10,20,4.2,33.7743486640328,-84.3297604779401
Atlanta,10,15,4.2,33.7846750548852,-84.3297604779401
Atlanta,10,5,4.2,33.7950014457377,-84.3297604779401
Atlanta,10,6,4.2,33.8053278365901,-84.3297604779401
Atlanta,10,6,4.2,33.8156542274426,-84.3297604779401
Atlanta,10,6,4.2,33.8259806182951,-84.3297604779401
Atlanta,10,6,4.1,33.8363070091475,-84.3297604779401
Atlanta,10,5,4.1,33.8466334,-84.3297604779401
Atlanta,10,5,4.1,33.8569597908525,-84.3297604779401
Atlanta,10,3,4.2,33.8672861817049,-84.3297604779401
Atlanta,10,2,4.2,33.8776125725574,-84.3297604779401
Atlanta,10,2,4.2,33.8879389634099,-84.3297604779401
Atlanta,10,2,4.2,33.8982653542623,-84.3297604779401
Atlanta,10,7,4.2,33.9085917451148,-84.3297604779401
Atlanta,10,10,4.2,33.9189181359673,-84.3297604779401
Atlanta,10,21,5.6,33.7743486640328,-84.3173270039201
Atlanta,10,15,5.6,33.7846750548852,-84.3173270039201
Atlanta,10,5,5.6,33.7950014457377,-84.3173270039201
Atlanta,10,6,5.5,33.8053278365901,-84.3173270039201
Atlanta,10,6,5.5,33.8156542274426,-84.3173270039201
Atlanta,10,6,5.5,33.8259806182951,-84.3173270039201
Atlanta,10,5,5.5,33.8363070091475,-84.3173270039201
Atlanta,10,4,5.5,33.8466334,-84.3173270039201
Atlanta,10,3,5.5,33.8569597908525,-84.3173270039201
Atlanta,10,2,5.5,33.8672861817049,-84.3173270039201
Atlanta,10,2,5.5,33.8776125725574,-84.3173270039201
Atlanta,10,2,5.5,33.8879389634099,-84.3173270039201
Atlanta,10,3,5.6,33.8982653542623,-84.3173270039201
Atlanta,10,6,5.6,33.9085917451148,-84.3173270039201
Atlanta,10,10,5.6,33.9189181359673,-84.3173270039201
Atlanta,10,21,7,33.7743486640328,-84.3048935299002
Atlanta,10,12,6.9,33.7846750548852,-84.3048935299002
Atlanta,10,5,6.9,33.7950014457377,-84.3048935299002
Atlanta,10,4,6.9,33.8053278365901,-84.3048935299002
Atlanta,10,5,6.9,33.8156542274426,-84.3048935299002
Atlanta,10,4,6.9,33.8259806182951,-84.3048935299002
